LHA,cases_per_100k,Date
Snow Country - Stikine - Telegraph Creek,0,2021-07-20
Fernie,1,2021-07-23
Cranbrook,2,2021-07-23
Kimberley,1,2021-07-23
Windermere,0,2021-07-23
Creston,0,2021-07-23
Golden,2,2021-07-23
Kootenay Lake,19,2021-07-23
Nelson,10,2021-07-23
Castlegar,29,2021-07-23
Arrow Lakes,0,2021-07-23
Trail,3,2021-07-23
Grand Forks,4,2021-07-23
Kettle Valley,8,2021-07-23
Southern Okanagan,2,2021-07-23
Penticton,0,2021-07-23
Keremeos,0,2021-07-23
Princeton,0,2021-07-23
Armstrong/Spallumcheen,1,2021-07-23
Vernon,2,2021-07-23
Central Okanagan,6,2021-07-23
Summerland,6,2021-07-23
Enderby,2,2021-07-23
Revelstoke,0,2021-07-23
Salmon Arm,1,2021-07-23
Kamloops,2,2021-07-23
100 Mile House,0,2021-07-23
North Thompson,0,2021-07-23
Cariboo/Chilcotin,0,2021-07-23
Lillooet,0,2021-07-23
South Cariboo,0,2021-07-23
Merritt,0,2021-07-23
Hope,2,2021-07-23
Chilliwack,1,2021-07-23
Abbotsford,1,2021-07-23
Mission,1,2021-07-23
Agassiz/Harrison,1,2021-07-23
New Westminster,0,2021-07-23
Burnaby,1,2021-07-23
Maple Ridge/Pitt Meadows,3,2021-07-23
Tri-Cities,1,2021-07-23
Langley,1,2021-07-23
Delta,1,2021-07-23
Surrey,1,2021-07-23
South Surrey/White Rock,1,2021-07-23
Richmond,1,2021-07-23
Vancouver - City Centre,2,2021-07-23
Vancouver - Centre North,2,2021-07-23
Vancouver - Northeast,1,2021-07-23
Vancouver - Westside,0,2021-07-23
Vancouver - Midtown,1,2021-07-23
Vancouver - South,1,2021-07-23
North Vancouver,1,2021-07-23
West Vancouver/Bowen Island,3,2021-07-23
Sunshine Coast,0,2021-07-23
Powell River,0,2021-07-23
Howe Sound,0,2021-07-23
Bella Coola Valley,0,2021-07-23
Central Coast,0,2021-07-23
Greater Victoria,0,2021-07-23
Western Communities,1,2021-07-23
Saanich Peninsula,0,2021-07-23
Southern Gulf Islands,0,2021-07-23
Cowichan Valley South,0,2021-07-23
Cowichan Valley West,0,2021-07-23
Cowichan Valley North,0,2021-07-23
Greater Nanaimo,0,2021-07-23
Oceanside,0,2021-07-23
Alberni/Clayoquot,0,2021-07-23
Comox Valley,0,2021-07-23
Greater Campbell River,0,2021-07-23
Vancouver Island West,0,2021-07-23
Vancouver Island North,0,2021-07-23
Haida Gwaii,0,2021-07-23
Prince Rupert,0,2021-07-23
Upper Skeena,0,2021-07-23
Smithers,0,2021-07-23
Kitimat,2,2021-07-23
Terrace,0,2021-07-23
Nisga'a,0,2021-07-23
Quesnel,0,2021-07-23
Burns Lake,2,2021-07-23
Nechako,1,2021-07-23
Prince George,1,2021-07-23
Peace River South,1,2021-07-23
Peace River North,1,2021-07-23
Fort Nelson,0,2021-07-23
Snow Country - Stikine - Telegraph Creek,0,2021-07-23
Fernie,0,2021-07-27
Cranbrook,1,2021-07-27
Kimberley,5,2021-07-27
Windermere,1,2021-07-27
Creston,0,2021-07-27
Golden,0,2021-07-27
Kootenay Lake,15,2021-07-27
Nelson,9,2021-07-27
Castlegar,24,2021-07-27
Arrow Lakes,0,2021-07-27
Trail,6,2021-07-27
Grand Forks,0,2021-07-27
Kettle Valley,0,2021-07-27
Southern Okanagan,1,2021-07-27
Penticton,1,2021-07-27
Keremeos,0,2021-07-27
Princeton,0,2021-07-27
Armstrong/Spallumcheen,0,2021-07-27
Vernon,6,2021-07-27
Central Okanagan,15,2021-07-27
Summerland,6,2021-07-27
Enderby,3,2021-07-27
Revelstoke,1,2021-07-27
Salmon Arm,3,2021-07-27
Kamloops,3,2021-07-27
100 Mile House,0,2021-07-27
North Thompson,0,2021-07-27
Cariboo/Chilcotin,0,2021-07-27
Lillooet,0,2021-07-27
South Cariboo,0,2021-07-27
Merritt,1,2021-07-27
Hope,0,2021-07-27
Chilliwack,2,2021-07-27
Abbotsford,1,2021-07-27
Mission,2,2021-07-27
Agassiz/Harrison,1,2021-07-27
New Westminster,0,2021-07-27
Burnaby,1,2021-07-27
Maple Ridge/Pitt Meadows,3,2021-07-27
Tri-Cities,1,2021-07-27
Langley,1,2021-07-27
Delta,1,2021-07-27
Surrey,1,2021-07-27
South Surrey/White Rock,2,2021-07-27
Richmond,1,2021-07-27
Vancouver - City Centre,2,2021-07-27
Vancouver - Centre North,1,2021-07-27
Vancouver - Northeast,1,2021-07-27
Vancouver - Westside,1,2021-07-27
Vancouver - Midtown,1,2021-07-27
Vancouver - South,1,2021-07-27
North Vancouver,1,2021-07-27
West Vancouver/Bowen Island,2,2021-07-27
Sunshine Coast,0,2021-07-27
Powell River,1,2021-07-27
Howe Sound,1,2021-07-27
Bella Coola Valley,0,2021-07-27
Central Coast,0,2021-07-27
Greater Victoria,0,2021-07-27
Western Communities,2,2021-07-27
Saanich Peninsula,0,2021-07-27
Southern Gulf Islands,0,2021-07-27
Cowichan Valley South,0,2021-07-27
Cowichan Valley West,0,2021-07-27
Cowichan Valley North,0,2021-07-27
Greater Nanaimo,1,2021-07-27
Oceanside,0,2021-07-27
Alberni/Clayoquot,0,2021-07-27
Comox Valley,0,2021-07-27
Greater Campbell River,0,2021-07-27
Vancouver Island West,0,2021-07-27
Vancouver Island North,0,2021-07-27
Haida Gwaii,0,2021-07-27
Prince Rupert,0,2021-07-27
Upper Skeena,0,2021-07-27
Smithers,0,2021-07-27
Kitimat,5,2021-07-27
Terrace,0,2021-07-27
Nisga'a,0,2021-07-27
Quesnel,0,2021-07-27
Burns Lake,2,2021-07-27
Nechako,0,2021-07-27
Prince George,1,2021-07-27
Peace River South,1,2021-07-27
Peace River North,0,2021-07-27
Fort Nelson,4,2021-07-27
Snow Country - Stikine - Telegraph Creek,0,2021-07-27
Fernie,2,2021-07-30
Cranbrook,7,2021-07-30
Kimberley,8,2021-07-30
Windermere,1,2021-07-30
Creston,0,2021-07-30
Golden,2,2021-07-30
Kootenay Lake,4,2021-07-30
Nelson,16,2021-07-30
Castlegar,17,2021-07-30
Arrow Lakes,8,2021-07-30
Trail,8,2021-07-30
Grand Forks,0,2021-07-30
Kettle Valley,0,2021-07-30
Southern Okanagan,1,2021-07-30
Penticton,2,2021-07-30
Keremeos,0,2021-07-30
Princeton,0,2021-07-30
Armstrong/Spallumcheen,6,2021-07-30
Vernon,9,2021-07-30
Central Okanagan,24,2021-07-30
Summerland,2,2021-07-30
Enderby,9,2021-07-30
Revelstoke,4,2021-07-30
Salmon Arm,5,2021-07-30
Kamloops,4,2021-07-30
100 Mile House,0,2021-07-30
North Thompson,3,2021-07-30
Cariboo/Chilcotin,0,2021-07-30
Lillooet,3,2021-07-30
South Cariboo,0,2021-07-30
Merritt,0,2021-07-30
Hope,2,2021-07-30
Chilliwack,3,2021-07-30
Abbotsford,2,2021-07-30
Mission,4,2021-07-30
Agassiz/Harrison,1,2021-07-30
New Westminster,1,2021-07-30
Burnaby,2,2021-07-30
Maple Ridge/Pitt Meadows,3,2021-07-30
Tri-Cities,1,2021-07-30
Langley,2,2021-07-30
Delta,1,2021-07-30
Surrey,1,2021-07-30
South Surrey/White Rock,1,2021-07-30
Richmond,1,2021-07-30
Vancouver - City Centre,3,2021-07-30
Vancouver - Centre North,1,2021-07-30
Vancouver - Northeast,1,2021-07-30
Vancouver - Westside,3,2021-07-30
Vancouver - Midtown,1,2021-07-30
Vancouver - South,2,2021-07-30
North Vancouver,2,2021-07-30
West Vancouver/Bowen Island,1,2021-07-30
Sunshine Coast,0,2021-07-30
Powell River,1,2021-07-30
Howe Sound,1,2021-07-30
Bella Coola Valley,0,2021-07-30
Central Coast,0,2021-07-30
Greater Victoria,1,2021-07-30
Western Communities,2,2021-07-30
Saanich Peninsula,1,2021-07-30
Southern Gulf Islands,0,2021-07-30
Cowichan Valley South,2,2021-07-30
Cowichan Valley West,0,2021-07-30
Cowichan Valley North,1,2021-07-30
Greater Nanaimo,1,2021-07-30
Oceanside,0,2021-07-30
Alberni/Clayoquot,0,2021-07-30
Comox Valley,0,2021-07-30
Greater Campbell River,1,2021-07-30
Vancouver Island West,0,2021-07-30
Vancouver Island North,0,2021-07-30
Haida Gwaii,0,2021-07-30
Prince Rupert,0,2021-07-30
Upper Skeena,0,2021-07-30
Smithers,0,2021-07-30
Kitimat,5,2021-07-30
Terrace,1,2021-07-30
Nisga'a,0,2021-07-30
Quesnel,0,2021-07-30
Burns Lake,0,2021-07-30
Nechako,0,2021-07-30
Prince George,1,2021-07-30
Peace River South,1,2021-07-30
Peace River North,1,2021-07-30
Fort Nelson,7,2021-07-30
Snow Country - Stikine - Telegraph Creek,26,2021-07-30
Fernie,2,2021-08-03
Cranbrook,9,2021-08-03
Kimberley,5,2021-08-03
Windermere,0,2021-08-03
Creston,1,2021-08-03
Golden,0,2021-08-03
Kootenay Lake,0,2021-08-03
Nelson,19,2021-08-03
Castlegar,11,2021-08-03
Arrow Lakes,17,2021-08-03
Trail,5,2021-08-03
Grand Forks,0,2021-08-03
Kettle Valley,0,2021-08-03
Southern Okanagan,3,2021-08-03
Penticton,3,2021-08-03
Keremeos,0,2021-08-03
Princeton,2,2021-08-03
Armstrong/Spallumcheen,16,2021-08-03
Vernon,11,2021-08-03
Central Okanagan,32,2021-08-03
Summerland,3,2021-08-03
Enderby,12,2021-08-03
Revelstoke,5,2021-08-03
Salmon Arm,8,2021-08-03
Kamloops,3,2021-08-03
100 Mile House,0,2021-08-03
North Thompson,3,2021-08-03
Cariboo/Chilcotin,2,2021-08-03
Lillooet,3,2021-08-03
South Cariboo,0,2021-08-03
Merritt,1,2021-08-03
Hope,3,2021-08-03
Chilliwack,5,2021-08-03
Abbotsford,3,2021-08-03
Mission,6,2021-08-03
Agassiz/Harrison,1,2021-08-03
New Westminster,1,2021-08-03
Burnaby,3,2021-08-03
Maple Ridge/Pitt Meadows,2,2021-08-03
Tri-Cities,1,2021-08-03
Langley,4,2021-08-03
Delta,1,2021-08-03
Surrey,2,2021-08-03
South Surrey/White Rock,2,2021-08-03
Richmond,1,2021-08-03
Vancouver - City Centre,4,2021-08-03
Vancouver - Centre North,2,2021-08-03
Vancouver - Northeast,3,2021-08-03
Vancouver - Westside,4,2021-08-03
Vancouver - Midtown,2,2021-08-03
Vancouver - South,2,2021-08-03
North Vancouver,2,2021-08-03
West Vancouver/Bowen Island,2,2021-08-03
Sunshine Coast,1,2021-08-03
Powell River,1,2021-08-03
Howe Sound,1,2021-08-03
Bella Coola Valley,0,2021-08-03
Central Coast,0,2021-08-03
Greater Victoria,1,2021-08-03
Western Communities,2,2021-08-03
Saanich Peninsula,1,2021-08-03
Southern Gulf Islands,0,2021-08-03
Cowichan Valley South,3,2021-08-03
Cowichan Valley West,0,2021-08-03
Cowichan Valley North,1,2021-08-03
Greater Nanaimo,1,2021-08-03
Oceanside,1,2021-08-03
Alberni/Clayoquot,2,2021-08-03
Comox Valley,1,2021-08-03
Greater Campbell River,1,2021-08-03
Vancouver Island West,0,2021-08-03
Vancouver Island North,0,2021-08-03
Haida Gwaii,3,2021-08-03
Prince Rupert,0,2021-08-03
Upper Skeena,0,2021-08-03
Smithers,0,2021-08-03
Kitimat,3,2021-08-03
Terrace,1,2021-08-03
Nisga'a,0,2021-08-03
Quesnel,1,2021-08-03
Burns Lake,2,2021-08-03
Nechako,6,2021-08-03
Prince George,2,2021-08-03
Peace River South,3,2021-08-03
Peace River North,1,2021-08-03
Fort Nelson,4,2021-08-03
Snow Country - Stikine - Telegraph Creek,20,2021-08-03
Fernie,5,2021-08-06
Cranbrook,10,2021-08-06
Kimberley,1,2021-08-06
Windermere,1,2021-08-06
Creston,6,2021-08-06
Golden,2,2021-08-06
Kootenay Lake,0,2021-08-06
Nelson,26,2021-08-06
Castlegar,24,2021-08-06
Arrow Lakes,22,2021-08-06
Trail,3,2021-08-06
Grand Forks,3,2021-08-06
Kettle Valley,0,2021-08-06
Southern Okanagan,4,2021-08-06
Penticton,6,2021-08-06
Keremeos,5,2021-08-06
Princeton,2,2021-08-06
Armstrong/Spallumcheen,14,2021-08-06
Vernon,17,2021-08-06
Central Okanagan,44,2021-08-06
Summerland,3,2021-08-06
Enderby,17,2021-08-06
Revelstoke,15,2021-08-06
Salmon Arm,10,2021-08-06
Kamloops,5,2021-08-06
100 Mile House,0,2021-08-06
North Thompson,0,2021-08-06
Cariboo/Chilcotin,4,2021-08-06
Lillooet,3,2021-08-06
South Cariboo,0,2021-08-06
Merritt,5,2021-08-06
Hope,5,2021-08-06
Chilliwack,5,2021-08-06
Abbotsford,3,2021-08-06
Mission,5,2021-08-06
Agassiz/Harrison,3,2021-08-06
New Westminster,3,2021-08-06
Burnaby,4,2021-08-06
Maple Ridge/Pitt Meadows,2,2021-08-06
Tri-Cities,2,2021-08-06
Langley,4,2021-08-06
Delta,1,2021-08-06
Surrey,2,2021-08-06
South Surrey/White Rock,3,2021-08-06
Richmond,3,2021-08-06
Vancouver - City Centre,5,2021-08-06
Vancouver - Centre North,4,2021-08-06
Vancouver - Northeast,3,2021-08-06
Vancouver - Westside,4,2021-08-06
Vancouver - Midtown,3,2021-08-06
Vancouver - South,3,2021-08-06
North Vancouver,3,2021-08-06
West Vancouver/Bowen Island,3,2021-08-06
Sunshine Coast,1,2021-08-06
Powell River,2,2021-08-06
Howe Sound,1,2021-08-06
Bella Coola Valley,0,2021-08-06
Central Coast,0,2021-08-06
Greater Victoria,3,2021-08-06
Western Communities,2,2021-08-06
Saanich Peninsula,1,2021-08-06
Southern Gulf Islands,0,2021-08-06
Cowichan Valley South,2,2021-08-06
Cowichan Valley West,0,2021-08-06
Cowichan Valley North,1,2021-08-06
Greater Nanaimo,3,2021-08-06
Oceanside,2,2021-08-06
Alberni/Clayoquot,3,2021-08-06
Comox Valley,1,2021-08-06
Greater Campbell River,1,2021-08-06
Vancouver Island West,0,2021-08-06
Vancouver Island North,1,2021-08-06
Haida Gwaii,3,2021-08-06
Prince Rupert,2,2021-08-06
Upper Skeena,3,2021-08-06
Smithers,0,2021-08-06
Kitimat,3,2021-08-06
Terrace,2,2021-08-06
Nisga'a,0,2021-08-06
Quesnel,2,2021-08-06
Burns Lake,7,2021-08-06
Nechako,22,2021-08-06
Prince George,4,2021-08-06
Peace River South,3,2021-08-06
Peace River North,2,2021-08-06
Fort Nelson,4,2021-08-06
Snow Country - Stikine - Telegraph Creek,0,2021-08-06
Fernie,14,2021-08-10
Cranbrook,12,2021-08-10
Kimberley,4,2021-08-10
Windermere,3,2021-08-10
Creston,28,2021-08-10
Golden,7,2021-08-10
Kootenay Lake,0,2021-08-10
Nelson,45,2021-08-10
Castlegar,30,2021-08-10
Arrow Lakes,20,2021-08-10
Trail,8,2021-08-10
Grand Forks,9,2021-08-10
Kettle Valley,4,2021-08-10
Southern Okanagan,6,2021-08-10
Penticton,6,2021-08-10
Keremeos,10,2021-08-10
Princeton,0,2021-08-10
Armstrong/Spallumcheen,16,2021-08-10
Vernon,19,2021-08-10
Central Okanagan,57,2021-08-10
Summerland,6,2021-08-10
Enderby,24,2021-08-10
Revelstoke,24,2021-08-10
Salmon Arm,10,2021-08-10
Kamloops,7,2021-08-10
100 Mile House,2,2021-08-10
North Thompson,7,2021-08-10
Cariboo/Chilcotin,4,2021-08-10
Lillooet,3,2021-08-10
South Cariboo,0,2021-08-10
Merritt,7,2021-08-10
Hope,13,2021-08-10
Chilliwack,7,2021-08-10
Abbotsford,4,2021-08-10
Mission,8,2021-08-10
Agassiz/Harrison,1,2021-08-10
New Westminster,5,2021-08-10
Burnaby,3,2021-08-10
Maple Ridge/Pitt Meadows,3,2021-08-10
Tri-Cities,3,2021-08-10
Langley,6,2021-08-10
Delta,4,2021-08-10
Surrey,3,2021-08-10
South Surrey/White Rock,7,2021-08-10
Richmond,3,2021-08-10
Vancouver - City Centre,6,2021-08-10
Vancouver - Centre North,7,2021-08-10
Vancouver - Northeast,4,2021-08-10
Vancouver - Westside,4,2021-08-10
Vancouver - Midtown,3,2021-08-10
Vancouver - South,4,2021-08-10
North Vancouver,4,2021-08-10
West Vancouver/Bowen Island,2,2021-08-10
Sunshine Coast,2,2021-08-10
Powell River,3,2021-08-10
Howe Sound,1,2021-08-10
Bella Coola Valley,0,2021-08-10
Central Coast,0,2021-08-10
Greater Victoria,3,2021-08-10
Western Communities,4,2021-08-10
Saanich Peninsula,1,2021-08-10
Southern Gulf Islands,1,2021-08-10
Cowichan Valley South,3,2021-08-10
Cowichan Valley West,0,2021-08-10
Cowichan Valley North,1,2021-08-10
Greater Nanaimo,4,2021-08-10
Oceanside,3,2021-08-10
Alberni/Clayoquot,4,2021-08-10
Comox Valley,1,2021-08-10
Greater Campbell River,3,2021-08-10
Vancouver Island West,0,2021-08-10
Vancouver Island North,0,2021-08-10
Haida Gwaii,0,2021-08-10
Prince Rupert,2,2021-08-10
Upper Skeena,3,2021-08-10
Smithers,3,2021-08-10
Kitimat,2,2021-08-10
Terrace,4,2021-08-10
Nisga'a,0,2021-08-10
Quesnel,4,2021-08-10
Burns Lake,7,2021-08-10
Nechako,21,2021-08-10
Prince George,5,2021-08-10
Peace River South,3,2021-08-10
Peace River North,6,2021-08-10
Fort Nelson,0,2021-08-10
Snow Country - Stikine - Telegraph Creek,7,2021-08-10
Fernie,14,2021-08-13
Cranbrook,15,2021-08-13
Kimberley,14,2021-08-13
Windermere,1,2021-08-13
Creston,48,2021-08-13
Golden,18,2021-08-13
Kootenay Lake,8,2021-08-13
Nelson,58,2021-08-13
Castlegar,34,2021-08-13
Arrow Lakes,25,2021-08-13
Trail,12,2021-08-13
Grand Forks,13,2021-08-13
Kettle Valley,4,2021-08-13
Southern Okanagan,7,2021-08-13
Penticton,9,2021-08-13
Keremeos,12,2021-08-13
Princeton,5,2021-08-13
Armstrong/Spallumcheen,16,2021-08-13
Vernon,19,2021-08-13
Central Okanagan,62,2021-08-13
Summerland,10,2021-08-13
Enderby,24,2021-08-13
Revelstoke,37,2021-08-13
Salmon Arm,15,2021-08-13
Kamloops,9,2021-08-13
100 Mile House,5,2021-08-13
North Thompson,7,2021-08-13
Cariboo/Chilcotin,11,2021-08-13
Lillooet,0,2021-08-13
South Cariboo,8,2021-08-13
Merritt,10,2021-08-13
Hope,24,2021-08-13
Chilliwack,8,2021-08-13
Abbotsford,6,2021-08-13
Mission,13,2021-08-13
Agassiz/Harrison,0,2021-08-13
New Westminster,5,2021-08-13
Burnaby,4,2021-08-13
Maple Ridge/Pitt Meadows,6,2021-08-13
Tri-Cities,4,2021-08-13
Langley,7,2021-08-13
Delta,6,2021-08-13
Surrey,4,2021-08-13
South Surrey/White Rock,8,2021-08-13
Richmond,4,2021-08-13
Vancouver - City Centre,10,2021-08-13
Vancouver - Centre North,11,2021-08-13
Vancouver - Northeast,6,2021-08-13
Vancouver - Westside,6,2021-08-13
Vancouver - Midtown,4,2021-08-13
Vancouver - South,5,2021-08-13
North Vancouver,5,2021-08-13
West Vancouver/Bowen Island,2,2021-08-13
Sunshine Coast,1,2021-08-13
Powell River,3,2021-08-13
Howe Sound,6,2021-08-13
Bella Coola Valley,0,2021-08-13
Central Coast,0,2021-08-13
Greater Victoria,3,2021-08-13
Western Communities,6,2021-08-13
Saanich Peninsula,3,2021-08-13
Southern Gulf Islands,1,2021-08-13
Cowichan Valley South,3,2021-08-13
Cowichan Valley West,0,2021-08-13
Cowichan Valley North,2,2021-08-13
Greater Nanaimo,2,2021-08-13
Oceanside,2,2021-08-13
Alberni/Clayoquot,6,2021-08-13
Comox Valley,1,2021-08-13
Greater Campbell River,3,2021-08-13
Vancouver Island West,0,2021-08-13
Vancouver Island North,1,2021-08-13
Haida Gwaii,0,2021-08-13
Prince Rupert,0,2021-08-13
Upper Skeena,0,2021-08-13
Smithers,3,2021-08-13
Kitimat,18,2021-08-13
Terrace,3,2021-08-13
Nisga'a,0,2021-08-13
Quesnel,6,2021-08-13
Burns Lake,5,2021-08-13
Nechako,33,2021-08-13
Prince George,6,2021-08-13
Peace River South,6,2021-08-13
Peace River North,7,2021-08-13
Fort Nelson,0,2021-08-13
Snow Country - Stikine - Telegraph Creek,13,2021-08-13
Fernie,14,2021-08-17
Cranbrook,15,2021-08-17
Kimberley,16,2021-08-17
Windermere,1,2021-08-17
Creston,48,2021-08-17
Golden,28,2021-08-17
Kootenay Lake,11,2021-08-17
Nelson,75,2021-08-17
Castlegar,32,2021-08-17
Arrow Lakes,22,2021-08-17
Trail,18,2021-08-17
Grand Forks,14,2021-08-17
Kettle Valley,11,2021-08-17
Southern Okanagan,7,2021-08-17
Penticton,13,2021-08-17
Keremeos,25,2021-08-17
Princeton,9,2021-08-17
Armstrong/Spallumcheen,15,2021-08-17
Vernon,22,2021-08-17
Central Okanagan,59,2021-08-17
Summerland,7,2021-08-17
Enderby,28,2021-08-17
Revelstoke,47,2021-08-17
Salmon Arm,23,2021-08-17
Kamloops,15,2021-08-17
100 Mile House,5,2021-08-17
North Thompson,7,2021-08-17
Cariboo/Chilcotin,27,2021-08-17
Lillooet,0,2021-08-17
South Cariboo,12,2021-08-17
Merritt,19,2021-08-17
Hope,21,2021-08-17
Chilliwack,7,2021-08-17
Abbotsford,7,2021-08-17
Mission,11,2021-08-17
Agassiz/Harrison,0,2021-08-17
New Westminster,6,2021-08-17
Burnaby,6,2021-08-17
Maple Ridge/Pitt Meadows,8,2021-08-17
Tri-Cities,6,2021-08-17
Langley,7,2021-08-17
Delta,5,2021-08-17
Surrey,5,2021-08-17
South Surrey/White Rock,6,2021-08-17
Richmond,4,2021-08-17
Vancouver - City Centre,12,2021-08-17
Vancouver - Centre North,14,2021-08-17
Vancouver - Northeast,8,2021-08-17
Vancouver - Westside,6,2021-08-17
Vancouver - Midtown,6,2021-08-17
Vancouver - South,5,2021-08-17
North Vancouver,6,2021-08-17
West Vancouver/Bowen Island,3,2021-08-17
Sunshine Coast,1,2021-08-17
Powell River,2,2021-08-17
Howe Sound,9,2021-08-17
Bella Coola Valley,0,2021-08-17
Central Coast,0,2021-08-17
Greater Victoria,4,2021-08-17
Western Communities,7,2021-08-17
Saanich Peninsula,3,2021-08-17
Southern Gulf Islands,5,2021-08-17
Cowichan Valley South,4,2021-08-17
Cowichan Valley West,2,2021-08-17
Cowichan Valley North,2,2021-08-17
Greater Nanaimo,3,2021-08-17
Oceanside,3,2021-08-17
Alberni/Clayoquot,6,2021-08-17
Comox Valley,4,2021-08-17
Greater Campbell River,1,2021-08-17
Vancouver Island West,0,2021-08-17
Vancouver Island North,3,2021-08-17
Haida Gwaii,3,2021-08-17
Prince Rupert,0,2021-08-17
Upper Skeena,3,2021-08-17
Smithers,0,2021-08-17
Kitimat,32,2021-08-17
Terrace,2,2021-08-17
Nisga'a,0,2021-08-17
Quesnel,10,2021-08-17
Burns Lake,2,2021-08-17
Nechako,48,2021-08-17
Prince George,9,2021-08-17
Peace River South,14,2021-08-17
Peace River North,9,2021-08-17
Fort Nelson,4,2021-08-17
Snow Country - Stikine - Telegraph Creek,7,2021-08-17
Fernie,13,2021-08-20
Cranbrook,16,2021-08-20
Kimberley,21,2021-08-20
Windermere,1,2021-08-20
Creston,58,2021-08-20
Golden,23,2021-08-20
Kootenay Lake,4,2021-08-20
Nelson,74,2021-08-20
Castlegar,24,2021-08-20
Arrow Lakes,17,2021-08-20
Trail,19,2021-08-20
Grand Forks,17,2021-08-20
Kettle Valley,15,2021-08-20
Southern Okanagan,6,2021-08-20
Penticton,12,2021-08-20
Keremeos,37,2021-08-20
Princeton,9,2021-08-20
Armstrong/Spallumcheen,18,2021-08-20
Vernon,22,2021-08-20
Central Okanagan,49,2021-08-20
Summerland,2,2021-08-20
Enderby,31,2021-08-20
Revelstoke,33,2021-08-20
Salmon Arm,23,2021-08-20
Kamloops,19,2021-08-20
100 Mile House,6,2021-08-20
North Thompson,13,2021-08-20
Cariboo/Chilcotin,31,2021-08-20
Lillooet,0,2021-08-20
South Cariboo,6,2021-08-20
Merritt,19,2021-08-20
Hope,19,2021-08-20
Chilliwack,10,2021-08-20
Abbotsford,6,2021-08-20
Mission,10,2021-08-20
Agassiz/Harrison,3,2021-08-20
New Westminster,7,2021-08-20
Burnaby,8,2021-08-20
Maple Ridge/Pitt Meadows,7,2021-08-20
Tri-Cities,8,2021-08-20
Langley,9,2021-08-20
Delta,5,2021-08-20
Surrey,6,2021-08-20
South Surrey/White Rock,6,2021-08-20
Richmond,4,2021-08-20
Vancouver - City Centre,13,2021-08-20
Vancouver - Centre North,17,2021-08-20
Vancouver - Northeast,9,2021-08-20
Vancouver - Westside,5,2021-08-20
Vancouver - Midtown,9,2021-08-20
Vancouver - South,5,2021-08-20
North Vancouver,6,2021-08-20
West Vancouver/Bowen Island,5,2021-08-20
Sunshine Coast,3,2021-08-20
Powell River,0,2021-08-20
Howe Sound,5,2021-08-20
Bella Coola Valley,18,2021-08-20
Central Coast,0,2021-08-20
Greater Victoria,4,2021-08-20
Western Communities,6,2021-08-20
Saanich Peninsula,2,2021-08-20
Southern Gulf Islands,4,2021-08-20
Cowichan Valley South,4,2021-08-20
Cowichan Valley West,2,2021-08-20
Cowichan Valley North,3,2021-08-20
Greater Nanaimo,4,2021-08-20
Oceanside,5,2021-08-20
Alberni/Clayoquot,10,2021-08-20
Comox Valley,7,2021-08-20
Greater Campbell River,1,2021-08-20
Vancouver Island West,0,2021-08-20
Vancouver Island North,3,2021-08-20
Haida Gwaii,9,2021-08-20
Prince Rupert,1,2021-08-20
Upper Skeena,3,2021-08-20
Smithers,2,2021-08-20
Kitimat,20,2021-08-20
Terrace,3,2021-08-20
Nisga'a,0,2021-08-20
Quesnel,6,2021-08-20
Burns Lake,0,2021-08-20
Nechako,42,2021-08-20
Prince George,8,2021-08-20
Peace River South,17,2021-08-20
Peace River North,11,2021-08-20
Fort Nelson,18,2021-08-20
Snow Country - Stikine - Telegraph Creek,0,2021-08-20
